id,Business_20_Units_Business_20_Unit,Business_20_Units_Division
0,23-0,Minor
1,50-0,Minor
2,55-0,Minor
3,60-0,Minor
4,65-0,Minor
5,70-0,Minor
6,75-0,Minor
7,80-0,Minor
8,90-0,Minor
9,AM-0,Minor
10,BA-0,Minor
11,BI-0,Minor
12,CH-0,Minor
13,CO-0,Minor
14,CP-0,Core
15,CR-0,Minor
16,DE-0,Minor
17,EM-0,Minor
18,ER-0,Minor
19,EX-0,Minor
20,FI-0,Minor
21,FO-0,Minor
22,FS-0,Minor
23,HC-0,Core
24,HC-0,Minor
25,HO-0,Core
26,HO-0,Growth
27,HO-0,Minor
28,LO-0,Minor
29,MA-0,Core
30,MA-0,Minor
31,OS-0,Minor
32,PH-0,Minor
33,PU-0,Core
34,PU-0,Minor
35,SA-0,Minor
36,SE-0,Minor
37,SM-0,Minor
38,SO-0,Minor
39,ST-0,Minor
40,UM-0,Minor
41,UT-0,Minor
